Article_Title,Speciality,Year,Description,Revue,Volume,Number,Pages
Investigating the long-term stability of photoluminescence lifetimes in PMMA films doped with β-diketonate europium complexes based on bipyridine and terpyridine derivatives,Mathematics and Computational Sciences,2024,"Journal of Photochemistry and Photobiology A: Chemistry 447, 115211, 2024",Journal of Photochemistry and Photobiology A: Chemistry,447,,115211
In Situ Synthesis of Novel Fluorinated Methacrylate/Clay Nanocomposites by Radical Polymerization: Structure and Characterizations,Mathematics and Computational Sciences,,,,,,
An efficient method for video shot boundary detection and keyframe extraction using SIFT-point distribution histogram,Mathematics and Computational Sciences,2016,"International Journal of Multimedia Information Retrieval 5, 89-104, 2016",International Journal of Multimedia Information Retrieval,5,,89104
MultiD-CNN: A multi-dimensional feature learning approach based on deep convolutional networks for gesture recognition in RGB-D image sequences,Mathematics and Computational Sciences,2020,"Expert Systems with Applications 139, 112829, 2020",Expert Systems with Applications,139,,112829
MSKVS: Adaptive mean shift-based keyframe extraction for video summarization and a new objective verification approach,Mathematics and Computational Sciences,2018,"Journal of Visual Communication and Image Representation 55, 179-200, 2018",Journal of Visual Communication and Image Representation,55,,179200
A divide-and-conquer strategy for facial landmark detection using dual-task CNN architecture,Mathematics and Computational Sciences,2020,"Pattern Recognition 107, 107504, 2020",Pattern Recognition,107,,107504
Efficient video summarization based on motion SIFT-distribution histogram,Mathematics and Computational Sciences,2016,"2016 13th International Conference on Computer Graphics, Imaging and …, 2016",,201613,,
Data lake versus data warehouse architecture: a comparative study,Mathematics and Computational Sciences,2022,"WITS 2020: Proceedings of the 6th International Conference on Wireless …, 2022",WITS,20206,,
Big data processing: batch-based processing and stream-based processing,Mathematics and Computational Sciences,2020,"2020 Fourth International Conference On Intelligent Computing in Data …, 2020",,2020,,
Improving articulated hand pose detection for static finger sign recognition in RGB-D images,Mathematics and Computational Sciences,2020,"Multimedia Tools and Applications 79 (39-40), 28925-28969, 2020",Multimedia Tools and Applications,79,3940,2892528969
A robust approach for object matching and classification using Partial Dominant Orientation Descriptor,Mathematics and Computational Sciences,2017,"Pattern Recognition 64, 168-186, 2017",Pattern Recognition,64,,168186
Automatic removal of handwritten annotations from between-text-lines and inside-text-line regions of a printed text document,Mathematics and Computational Sciences,2015,"Procedia Computer Science 45, 205-214, 2015",Procedia Computer Science,45,,205214
An automatic video surveillance indexing based on facial feature descriptors,Mathematics and Computational Sciences,2015,"2015 5th International Conference on Information & Communication Technology …, 2015",,20155,,
Deep Deterministic Policy Gradient for Portfolio Management,Mathematics and Computational Sciences,2021,"2020 6th IEEE Congress on Information Science and Technology (CiSt), 424-429, 2021",,20206,,424429
A stock trading strategy based on deep reinforcement learning,Mathematics and Computational Sciences,2020,"International Conference on Advanced Intelligent Systems for Sustainable …, 2020","International Conference on Advanced Intelligent Systems for Sustainable …,",,,
Analysis and exploitation of Geospatial Big Data: State of art,Mathematics and Computational Sciences,2020,"2020 IEEE 14th International Conference on Application of Information and …, 2020",,202014,,
Efficient object indexing and retrieval using partial dominant orientation descriptor,Mathematics and Computational Sciences,2016,"2016 13th International Conference on Computer Graphics, Imaging and …, 2016",,201613,,
Efficient object matching using partial dominant orientation descriptor,Mathematics and Computational Sciences,2015,"2015 5th International Conference on Information & Communication Technology …, 2015",,20155,,
Automatic Removal of Marginal Annotations in Printed Text Document,Mathematics and Computational Sciences,2014,"arXiv preprint arXiv:1408.2015, 2014",arXiv preprint arXiv:,14082015,,
Intelligent Multi-Sensor System for Remote Detection of COVID-19,Mathematics and Computational Sciences,2022,"Smart and Sustainable Technology for Resilient Cities and Communities, 149-162, 2022","Smart and Sustainable Technology for Resilient Cities and Communities,",149162,,
Variational Autoencoders Versus Denoising Autoencoders for Recommendations,Mathematics and Computational Sciences,2022,"WITS 2020: Proceedings of the 6th International Conference on Wireless …, 2022",WITS,20206,,
A Keyframe Extraction Method using Entropy based Singular Values,Mathematics and Computational Sciences,2016,"2016 4th International Conference on Networked Systems (NETYS 2016), 391, 2016",,20164,2016,391
The application of machine learning techniques for driving behavior analysis: A conceptual framework and a systematic literature review,Mathematics and Computational Sciences,2020,"Engineering Applications of Artificial Intelligence 87, 103312, 2020",Engineering Applications of Artificial Intelligence,87,,103312
Class-imbalanced crash prediction based on real-time traffic and weather data: A driving simulator study,Mathematics and Computational Sciences,2020,"Traffic injury prevention 21 (3), 201-208, 2020",Traffic injury prevention,21,3,201208
A real-time crash prediction fusion framework: An imbalance-aware strategy for collision avoidance systems,Mathematics and Computational Sciences,2020,"Transportation research part C: emerging technologies 118, 102708, 2020",Transportation research part C: emerging technologies,118,,102708
A proactive decision support system for predicting traffic crash events: A critical analysis of imbalanced class distribution,Mathematics and Computational Sciences,2020,"Knowledge-Based Systems 205, 106314, 2020",Knowledge-Based Systems,205,,106314
"Understanding driving behavior: Measurement, modeling and analysis",Mathematics and Computational Sciences,2019,"Advanced Intelligent Systems for Sustainable Development (AI2SD’2018) Volume …, 2019",Advanced Intelligent Systems for Sustainable Development (AI,22018,,
Towards analyzing crash events for novice drivers under reduced-visibility settings: A simulator study,Mathematics and Computational Sciences,2020,"Proceedings of the 3rd International Conference on Networking, Information …, 2020",Proceedings of the,3,,
Machine Learning Prediction of Weather-Induced Road Crash Events for Experienced and Novice Drivers: Insights from a Driving Simulator Study,Mathematics and Computational Sciences,2023,"International Conference on Business Intelligence, 57-73, 2023","International Conference on Business Intelligence,",5773,,
Efficient Fusion Decision System for Predicting Road Crash Events: A Comparative Simulator Study for Imbalance Class Handling,Mathematics and Computational Sciences,2023,"Transportation Research Record, 03611981231192985, 2023","Transportation Research Record,",03611981231192985,,
Crash Prediction using Ensemble Methods,Mathematics and Computational Sciences,2022,,,,,
Toward Flexible Data Collection of Driving Behaviour,Mathematics and Computational Sciences,2020,"The International Archives of the Photogrammetry, Remote Sensing and Spatial …, 2020","The International Archives of the Photogrammetry, Remote Sensing and Spatial …,",,,
"A non-intrusive multivariate analysis for monitoring inattentive driving based on physiological signals, driver inputs and visual features: A hybrid deep learning approach",Mathematics and Computational Sciences,2023,"2023 10th International Conference on Wireless Networks and Mobile …, 2023",,202310,,
Does gender affect the identification of road crash occurrences? An Overview and a comparative study,Mathematics and Computational Sciences,2023,"International Journal of Computer Engineering and Data Science (IJCEDS) 3 (1 …, 2023",International Journal of Computer Engineering and Data Science (IJCEDS),3,1,
Predictive analysis for road accidents using a tree-based and deep learning fusion system,Mathematics and Computational Sciences,,"Journal of Intelligent & Fuzzy Systems, 1-17, 0","Journal of Intelligent & Fuzzy Systems,",117,,
Imbalance-learning road crash assessment under reduced visibility settings: A proactive multicriteria decision-making system,Mathematics and Computational Sciences,,"Journal of Ambient Intelligence and Smart Environments, 1-26, 0","Journal of Ambient Intelligence and Smart Environments,",126,,
The Application of Machine Learning Techniques for Smart Irrigation Systems: A Systematic Literature Review,Mathematics and Computational Sciences,,"Available at SSRN 4615108, 0",Available at SSRN,4615108,,
Elboushaki A Afdel K Naghabhushan P Javed M An efficient method for video shot boundary detection and keyframe extraction using SIFT-point distribution histogram,Mathematics and Computational Sciences,2016,"International Journal of Multimedia Information Retrieval 5 (2), 89, 2016",International Journal of Multimedia Information Retrieval,5,2,89
Efficient Object Indexing and Retrieval Based on Partial Dominant Orientation Descriptor,Mathematics and Computational Sciences,,,,,,
Preparation and characterization of Cu2CoSnS4 thin films for solar cells via co-electrodeposition technique: effect of electrodeposition time,Mathematics and Computational Sciences,2019,"Optik 193, 162996, 2019",Optik,193,,162996
"Structural, morphological, optical, and electrochemical properties of Co-doped CeO2 thin films",Mathematics and Computational Sciences,2021,"Materials Science in Semiconductor Processing 135, 106049, 2021",Materials Science in Semiconductor Processing,135,,106049
Synthesis of the Sn-based CaSnS3 chalcogenide perovskite thin film as a highly stable photoabsorber for optoelectronic applications,Mathematics and Computational Sciences,2021,"Journal of Alloys and Compounds 851, 156790, 2021",Journal of Alloys and Compounds,851,,156790
Synthesis of Tetragonal Cu2NiSnS4 Thin Film via Low-Cost Electrodeposition Method: Effect of Ni2+ Molarity,Mathematics and Computational Sciences,2020,"Journal of Electronic Materials 49, 728-735, 2020",Journal of Electronic Materials,49,,728735
The choice of the copper concentration favoring the production of stoichiometric CuSbS2 and Cu12Sb4S13 thin films co-electrodeposited on FTO,Mathematics and Computational Sciences,2022,"Journal of Alloys and Compounds 908, 164618, 2022",Journal of Alloys and Compounds,908,,164618
Experimental and theoretical study of new kesterite Cu2NiGeS4 thin film synthesized via spray ultrasonic technic,Mathematics and Computational Sciences,2020,"Applied Surface Science 527, 146800, 2020",Applied Surface Science,527,,146800
Enhanced properties of the chemically prepared Gd-doped SrSnO3 thin films: Experimental and DFT study,Mathematics and Computational Sciences,2020,"Optical Materials 107, 110136, 2020",Optical Materials,107,,110136
Influence of cycle numbers on optical parameters of nanostructured Bi2S3 thin films using SILAR method for solar cells light harvesting,Mathematics and Computational Sciences,2021,"Materialia 20, 101242, 2021",Materialia,20,,101242
Preparation and characterization of Cu2FeGeS4 thin-film synthesized via spray ultrasonic method− DFT study,Mathematics and Computational Sciences,2020,"Materials Letters 275, 128070, 2020",Materials Letters,275,,128070
"Structural, electronic and optical properties of Cu-doped ZnS thin films deposited by the ultrasonic spray method-DFT study",Mathematics and Computational Sciences,2021,"Optical and Quantum Electronics 53 (6), 300, 2021",Optical and Quantum Electronics,53,6,300
Synthesis and characterization of Cu2CoSnS4 thin film via electrodeposition technique for solar cells,Mathematics and Computational Sciences,2019,"Journal of Materials Science: Materials in Electronics 30, 12487-12492, 2019",Journal of Materials Science: Materials in Electronics,30,,1248712492
Effects of co-electrodeposition potential on the physicochemical properties of Cu2CoSnS4 thin films enriched by a theoretical calculation,Mathematics and Computational Sciences,2022,"Optik 258, 168886, 2022",Optik,258,,168886
Investigation of Physical and electrochemical properties of Ni doped CeO2 Thin films: DFT calculation,Mathematics and Computational Sciences,2021,"Current Applied Physics 31, 171-181, 2021",Current Applied Physics,31,,171181
"Facile synthesis of the wurtz stannite (orthorhombic) Cu2MnGeS4 thin film via spray ultrasonic method: Structural, Raman, optical and electronic study",Mathematics and Computational Sciences,2020,"Journal of Alloys and Compounds 845, 156216, 2020",Journal of Alloys and Compounds,845,,156216
Higher Conductivity and Enhanced Optoelectronic Properties of Chemically Grown Nd-Doped CaSnO3 Perovskite Oxide Thin Films,Mathematics and Computational Sciences,2021,"ACS omega 6 (48), 32537-32547, 2021",ACS omega,6,48,3253732547
"Revealing the impact of strontium doping on the optical, electronic and electrical properties of nanostructured 2H-CuFeO 2 delafossite thin films",Mathematics and Computational Sciences,2021,"RSC advances 11 (41), 25686-25694, 2021",RSC advances,11,41,2568625694
Effects of copper concentration on the properties of Cu2CoSnS4 thin films co-electrodeposited on the FTO substrate,Mathematics and Computational Sciences,2022,"Journal of Materials Science: Materials in Electronics 33 (15), 12016-12025, 2022",Journal of Materials Science: Materials in Electronics,33,15,1201612025
Electrodeposition of Cu2O thin film onto copper substrate by linear sweep voltammetry at low duration: effect of bath pH,Mathematics and Computational Sciences,2022,"Biointerface Research in Applied Chemistry 12 (6), 7715-7724, 2022",Biointerface Research in Applied Chemistry,12,6,77157724
"Structural, electronic and optical properties of a tetragonal-stannite Cu2CoGeS4 thin film synthesized by a low-cost spray method: Experimental and theoretical study",Mathematics and Computational Sciences,2020,"Ceramics International 46 (14), 23127-23133, 2020",Ceramics International,46,14,2312723133
Unraveling the microstructural and optoelectronic properties of solution-processed Pr-doped SrSnO 3 perovskite oxide thin films,Mathematics and Computational Sciences,2021,"RSC advances 11 (59), 37019-37028, 2021",RSC advances,11,59,3701937028
Lipschitz stability for an inverse source problem in anisotropic parabolic equations with dynamic boundary conditions,Mathematics and Computational Sciences,2020,"arXiv preprint arXiv:2003.07884, 2020",arXiv preprint arXiv:,200307884,,
An inverse problem of radiative potentials and initial temperatures in parabolic equations with dynamic boundary conditions,Mathematics and Computational Sciences,2022,"Journal of Inverse and Ill-posed Problems 30 (3), 363-378, 2022",Journal of Inverse and Ill-posed Problems,30,3,363378
Identification of source terms in heat equation with dynamic boundary conditions,Mathematics and Computational Sciences,2022,"Mathematical Methods in the Applied Sciences 45 (4), 2364-2379, 2022",Mathematical Methods in the Applied Sciences,45,4,23642379
Exponential energy decay of some coupled second order systems,Mathematics and Computational Sciences,2013,"Semigroup Forum 86, 362-382, 2013",Semigroup Forum,86,,362382
On Algebraic condition for null controllability of some coupled degenerate systems,Mathematics and Computational Sciences,2017,"arXiv preprint arXiv:1705.03044, 2017",arXiv preprint arXiv:,170503044,,
Compact decoupling for thermoelasticity in irregular domains,Mathematics and Computational Sciences,2008,"Asymptotic Analysis 58 (1-2), 47-56, 2008",Asymptotic Analysis,58,12,4756
Inverse problems for general parabolic systems and application to Ornstein-Uhlenbeck equation,Mathematics and Computational Sciences,2021,"arXiv preprint arXiv:2110.01321, 2021",arXiv preprint arXiv:,211001321,,
Stabilization of coupled second order systems with delay,Mathematics and Computational Sciences,2010,"arXiv preprint arXiv:1010.3636, 2010",arXiv preprint arXiv:,10103636,,
Stability of abstract thermo-elastic semigroups,Mathematics and Computational Sciences,2016,"Journal of Mathematical Analysis and Applications 435 (2), 1021-1035, 2016",Journal of Mathematical Analysis and Applications,435,2,10211035
Polynomial internal and external stability of well-posed linear systems,Mathematics and Computational Sciences,2015,"Operator semigroups meet complex analysis, harmonic analysis and …, 2015","Operator semigroups meet complex analysis, harmonic analysis and …,",,,
Controllability of a system of degenerate parabolic equations with non-diagonalizable diffusion matrix,Mathematics and Computational Sciences,2018,"arXiv preprint arXiv:1808.07524, 2018",arXiv preprint arXiv:,180807524,,
Decay rates for delayed abstract thermoelastic systems with Cattaneo law,Mathematics and Computational Sciences,2017,"Semigroup Forum, 2017","Semigroup Forum,",,,
THERMOELASTIC SYSTEMS WITH FOURIER'S LAW.,Mathematics and Computational Sciences,2017,"EDITIONS UNIVERSITAIRES E, 2017","EDITIONS UNIVERSITAIRES E,",,,
Thermoelastic Systems with Fourier's Law: Decoupling Technique,Mathematics and Computational Sciences,2017,"Éditions universitaires européennes, 2017","Éditions universitaires européennes,",,,
FEEDBACK STABILIZATION OF SOME SECOND ORDER SYSTEMS.,Mathematics and Computational Sciences,2017,"EDITIONS UNIVERSITAIRES E, 2017","EDITIONS UNIVERSITAIRES E,",,,
COMPACTNESS OF THE DIFFERENCE BETWEEN THE POROUS THERMOELASTIC SEMIGROUP AND ITS DECOUPLED SEMIGROUP,Mathematics and Computational Sciences,2015,"Electronic Journal of Differential Equations 2015 (173), 1-16, 2015",Electronic Journal of Differential Equations,2015,173,116
Automatic detection and inpainting of specular reflections for colposcopic images,Mathematics and Computational Sciences,2011,"Central European Journal of Computer Science 1, 341-354, 2011",Central European Journal of Computer Science,1,,341354
Arab sign language recognition with convolutional neural networks,Mathematics and Computational Sciences,2019,"2019 International conference of computer science and renewable energies …, 2019",,2019,,
A mutlipath routing algorithm for wireless sensor networks under distance and energy consumption constraints for reliable data transmission,Mathematics and Computational Sciences,2017,"2017 International Conference on Engineering & MIS (ICEMIS), 1-4, 2017",,2017,,14
Handwritten tifinagh characters recognition using deep convolutional neural networks,Mathematics and Computational Sciences,2019,"Sensing and Imaging 20 (1), 9, 2019",Sensing and Imaging,20,1,9
Face recognition system using Gabor features and HTK toolkit,Mathematics and Computational Sciences,2014,"2014 Tenth International Conference on Signal-Image Technology and Internet …, 2014",,2014,,
Robust facial expression recognition system based on hidden Markov models,Mathematics and Computational Sciences,2016,"International Journal of Multimedia Information Retrieval 5, 229-236, 2016",International Journal of Multimedia Information Retrieval,5,,229236
Semi-automatic cervical cancer segmentation using active contours without edges,Mathematics and Computational Sciences,2009,"2009 Fifth International Conference on Signal Image Technology and Internet …, 2009",,2009,,
Isolated video-based Arabic sign language recognition using convolutional and recursive neural networks,Mathematics and Computational Sciences,2021,"Arabian Journal for Science and Engineering, 1-13, 2021","Arabian Journal for Science and Engineering,",113,,
Offline Face Recognition System Based on Gabor- Fisher Descriptors and Hidden Markov Models,Mathematics and Computational Sciences,2016,"International Journal of Interactive Multimedia and Artificial Intelligence …, 2016","International Journal of Interactive Multimedia and Artificial Intelligence …,",,,
Character-level arabic text generation from sign language video using encoder–decoder model,Mathematics and Computational Sciences,2023,"Displays 76, 102340, 2023",Displays,76,,102340
Unimodal Multi-Feature Fusion and One-dimensional Hidden Markov Models for Low-Resolution Face Recognition,Mathematics and Computational Sciences,2017,"International Journal of Electrical and Computer Engineering 7 (4), 2017",International Journal of Electrical and Computer Engineering,7,4,
3D gesture segmentation for word-level Arabic sign language using large-scale RGB video sequences and autoencoder convolutional networks,Mathematics and Computational Sciences,2022,"Signal, Image and Video Processing, 2022","Signal, Image and Video Processing,",,,
Image registration using opponentSIFT descriptor: Application to colposcopic images with specular reflections,Mathematics and Computational Sciences,2010,"2010 Sixth International Conference on Signal-Image Technology and Internet …, 2010",,2010,,
Recurrent neural network for software failure prediction,Mathematics and Computational Sciences,2018,"Proceedings of the Fourth International Conference on Engineering & MIS 2018 …, 2018",Proceedings of the Fourth International Conference on Engineering & MIS,2018,,
"Security of hardware architecture, design and performance of low drop-out voltage regulator LDO to protect power mobile applications",Mathematics and Computational Sciences,2017,"2017 International Conference on Engineering & MIS (ICEMIS), 1-8, 2017",,2017,,18
Colposcopic image registration using opponentSIFT descriptor,Mathematics and Computational Sciences,2010,"2010 5th International Symposium On I/V Communications and Mobile Network, 1-4, 2010",,20105,,14
Low-resolution face recognition using unimodal data fusion,Mathematics and Computational Sciences,2017,"2017 International Conference on Engineering & MIS (ICEMIS), 1-5, 2017",,2017,,15
LIDarknet: Experimenting the Power of Ensemble Learning in the Classification of Network Traffic,Mathematics and Computational Sciences,2023,"2023 IEEE Intl Conf on Dependable, Autonomic and Secure Computing, Intl Conf …, 2023",,2023,,
Combining frequency transformer and CNNs for medical image segmentation,Mathematics and Computational Sciences,2023,"Multimedia Tools and Applications, 2023","Multimedia Tools and Applications,",,,
Diagram of the aging dynamics in laponite suspensions at low ionic strength,Mathematics and Computational Sciences,2006,"Physical Review E 73 (2), 021401, 2006",Physical Review E,73,2,021401
Successive exponential and full aging regimes evidenced by tracer diffusion in a colloidal glass,Mathematics and Computational Sciences,2005,"Physical Review E 72 (1), 011403, 2005",Physical Review E,72,1,011403
Exploring destination’s negative e-reputation using aspect based sentiment  analysis approach: Case of Marrakech destination on TripAdvisor,Mathematics and Computational Sciences,2021,"Tourism Management Perspectives 40 (100892), 2021",Tourism Management Perspectives,40,100892,
Aging of a colloidal glass under a periodic shear,Mathematics and Computational Sciences,2005,"Physical Review E 72 (1), 011401, 2005",Physical Review E,72,1,011401
An improved recommender system solution to mitigate the over-specialization problem using genetic algorithms,Mathematics and Computational Sciences,2022,"Electronics 11 (2), 242, 2022",Electronics,11,2,242
Towards the detection of fake news on social networks contributing to the improvement of trust and transparency in recommendation systems: trends and challenges,Mathematics and Computational Sciences,2022,"Information 13 (3), 128, 2022",Information,13,3,128
Latest Trends in Recommender Systems applied in the medical domain: A Systematic Review,Mathematics and Computational Sciences,2020,"Proceedings of the 3rd International Conference on Networking, Information …, 2020",Proceedings of the,3,,
Integrating contextual information into multi-class classification to improve the context-aware recommendation,Mathematics and Computational Sciences,2022,"Procedia Computer Science 198, 311-316, 2022",Procedia Computer Science,198,,311316
The Recommendation of a Practical Guide for Doctoral Students Using Recommendation System Algorithms in the Education Field,Mathematics and Computational Sciences,2021,"Innovations in Smart Cities Applications 4, 240-254, 2021",Innovations in Smart Cities Applications,4,,240254
Analyzing tourism reviews using an LDA topic-based sentiment analysis approach,Mathematics and Computational Sciences,2022,"MethodsX 9, 101894, 2022",MethodsX,9,,101894
Artificial Intelligence in Predicting the Spread of Coronavirus to Ensure Healthy Living for All Age Groups,Mathematics and Computational Sciences,2021,"Emerging Trends in ICT for Sustainable Development, 11-18, 2021","Emerging Trends in ICT for Sustainable Development,",1118,,
A Deep Learning to Distinguish COVID-19 from Others Pneumonia Cases,Mathematics and Computational Sciences,2021,"Intelligent Automation & Soft Computing 31 (2), 677-692, 2021",Intelligent Automation & Soft Computing,31,2,677692
Latest Trends in Recommender Systems applied in the medical domain: A Systematic Review.,Mathematics and Computational Sciences,2020,"NISS, 41:1-41:12, 2020","NISS,",4114112,,
A semantic approach for mathematical expression retrieval,Mathematics and Computational Sciences,2016,"International Journal of Advanced Computer Science and Applications 7 (9), 2016",International Journal of Advanced Computer Science and Applications,7,9,
The Use of a Genetic Algorithm to Alleviate the Limited Content Issue in a Content-Based Recommendation System,Mathematics and Computational Sciences,2023,"ICAISE 2022: Artificial Intelligence and Smart Environment, 776–782, 2023",ICAISE,2022,,776782
Investigating Different Similarity Metrics Used in Various Recommender Systems Types: Scenario Cases,Mathematics and Computational Sciences,2022,"The International Archives of the Photogrammetry, Remote Sensing and Spatial …, 2022","The International Archives of the Photogrammetry, Remote Sensing and Spatial …,",,,
Restricted diffusion of small probe particles in a laponite dispersion,Mathematics and Computational Sciences,2013,"Physical Review E 88 (3), 032308, 2013",Physical Review E,88,3,032308
HOW CAN WE ANALYSE EMOTIONS ON TWITTER DURING AN EPIDEMIC SITUATION? A FEATURES ENGINEERING APPROACH TO EVALUATE PEOPLE’S EMOTIONS DURING THE COVID-19 PANDEMIC.,Mathematics and Computational Sciences,2021,,,,,
Towards a robust solution to mitigate all content-based filtering drawbacks within a recommendation system,Mathematics and Computational Sciences,2023,"International Journal of Systematic Innovation 7 (7), 89-111, 2023",International Journal of Systematic Innovation,7,7,89111
Towards Ideal and Efficient Recommendation Systems Based on the Five Evaluation Concepts Promoting Serendipity,Mathematics and Computational Sciences,2023,"Journal of Advances in Information Technology 14 (4), 2023",Journal of Advances in Information Technology,14,4,
A recommender model in e-learning environment,Mathematics and Computational Sciences,2017,"Arabian Journal for Science and Engineering 42, 607-617, 2017",Arabian Journal for Science and Engineering,42,,607617
A personalized e-learning based on recommender system,Mathematics and Computational Sciences,2016,"International journal of learning and teaching 2 (2), 99-103, 2016",International journal of learning and teaching,2,2,99103
Toward a hybrid recommender system for e-learning personnalization based on data mining techniques,Mathematics and Computational Sciences,2018,"JOIV: International Journal on Informatics Visualization 2 (4), 271-278, 2018",JOIV: International Journal on Informatics Visualization,2,4,271278
A new distributed intrusion detection system based on multi-agent system for cloud environment,Mathematics and Computational Sciences,2018,"International Journal of Communication Networks and Information Security 10 …, 2018",International Journal of Communication Networks and Information Security,10,,
E-learning personalization based on collaborative filtering and learner’s preference,Mathematics and Computational Sciences,2016,"Journal of Engineering Science and Technology 11 (11), 1565-1581, 2016",Journal of Engineering Science and Technology,11,11,15651581
A Big-Data Oriented Recommendation Method in E-Learning Environment.,Mathematics and Computational Sciences,2022,"International Journal of Emerging Technologies in Learning 17 (10), 2022",International Journal of Emerging Technologies in Learning,17,10,
Building effective collaborative groups in e-learning environment,Mathematics and Computational Sciences,2020,"Advanced Intelligent Systems for Sustainable Development (AI2SD’2019) Volume …, 2020",Advanced Intelligent Systems for Sustainable Development (AI,22019,,
Weighting based approach for learning resources recommendations,Mathematics and Computational Sciences,2018,"JOIV: International Journal on Informatics Visualization 2 (3), 104-109, 2018",JOIV: International Journal on Informatics Visualization,2,3,104109
A multi-agent system-based distributed intrusion detection system for a cloud computing,Mathematics and Computational Sciences,2018,"New Trends in Model and Data Engineering: MEDI 2018 International Workshops …, 2018",New Trends in Model and Data Engineering: MEDI,2018,,
Personalised Learning Paths for Smart Education: Case Studies from Cadi Ayyad University,Mathematics and Computational Sciences,2022,"Pedagogy, Didactics and Educational Technologies: Research Experiences and …, 2022","Pedagogy, Didactics and Educational Technologies: Research Experiences and …,",,,
Recommendation method based on learner profile and demonstrated knowledge,Mathematics and Computational Sciences,2022,"Indonesian Journal of Electrical Engineering and Computer Science 26 (3 …, 2022",Indonesian Journal of Electrical Engineering and Computer Science,26,3,
An Automatic Method for Building Learners’ Groups in Virtual Environment,Mathematics and Computational Sciences,2017,"International Journal of Educational and Pedagogical Sciences 11 (2), 2017",International Journal of Educational and Pedagogical Sciences,11,2,
On γ-rigid regime of the Bohr–Mottelson Hamiltonian in the presence of a minimal length,Physics,2016,"Physics Letters B 758, 212-218, 2016",Physics Letters B,758,,212218
Electric quadrupole transitions of the Bohr Hamiltonian with Manning–Rosen potential,Physics,2016,"Nuclear Physics A 953, 158-175, 2016",Nuclear Physics A,953,,158175
Nuclear shape phase transition within a conjunction of γ-rigid and γ-stable collective behaviors in deformation-dependent mass formalism,Physics,2016,"Journal of Physics G: Nuclear and Particle Physics 43 (12), 125107, 2016",Journal of Physics G: Nuclear and Particle Physics,43,12,125107
Exact solutions of deformed Schrödinger equation with a class of non-central physical potentials,Physics,2015,"Journal of Mathematical Physics 56 (6), 2015",Journal of Mathematical Physics,56,6,
Davydov–Chaban Hamiltonian with deformation-dependent mass term for γ= 30∘,Physics,2018,"Nuclear Physics A 970, 272-290, 2018",Nuclear Physics A,970,,272290
Collective motion in prolate γ-rigid nuclei within minimal length concept via a quantum perturbation method,Physics,2018,"Annals of Physics 392, 142-156, 2018",Annals of Physics,392,,142156
Closed Analytical Solutions of the D-Dimensional Schrödinger Equation with Deformed Woods–Saxon Potential Plus Double Ring-Shaped Potential,Physics,2016,"Zeitschrift für Naturforschung A 71 (1), 59-68, 2016",Zeitschrift für Naturforschung A,71,1,5968
Excited collective states of nuclei within Bohr Hamiltonian with Tietz-Hua potential,Physics,2017,"The European Physical Journal A 53 (7), 157, 2017",The European Physical Journal A,53,7,157
Scattering states of Dirac particle equation with position-dependent mass under the cusp potential,Physics,2016,"The European Physical Journal Plus 131, 1-7, 2016",The European Physical Journal Plus,131,,17
Collective states of even–even nuclei in γ-rigid quadrupole Hamiltonian with minimal length under the sextic potential,Physics,2021,"Journal of Physics G: Nuclear and Particle Physics 48 (8), 085106, 2021",Journal of Physics G: Nuclear and Particle Physics,48,8,085106
Bohr Hamiltonian with trigonometric Pöschl-Teller potential in-unstable and-stable pictures,Physics,2019,"The European Physical Journal Plus 134 (11), 577, 2019",The European Physical Journal Plus,134,11,577
Comparison between Coulomb and Hulthèn potentials behaviors in γ-rigid nuclei within a generalized uncertainty principle,Physics,2019,"Annals of Physics 403, 47-58, 2019",Annals of Physics,403,,4758
Systematics of alpha decay half-lives within the position-dependent mass formalism,Physics,2021,"The European Physical Journal A 57 (8), 254, 2021",The European Physical Journal A,57,8,254
Correlation between two quantum concepts within shape phase transitions in nuclei,Physics,2021,"Europhysics Letters 132 (5), 52001, 2021",Europhysics Letters,132,5,52001
Davydov-Chaban Hamiltonian with deformation-dependent mass term for the Kratzer potential,Physics,2022,"Nuclear Physics A 1017, 122354, 2022",Nuclear Physics A,1017,,122354
Scattering states of the Schrödinger equation with a position-dependent-mass and a non-central potential,Physics,2016,"Journal of the Korean Physical Society 69, 1619-1624, 2016",Journal of the Korean Physical Society,69,,16191624
Probing DDM and ML quantum concepts in shape phase transitions of γ-unstable nuclei,Physics,2023,"Nuclear Physics A, 122697, 2023","Nuclear Physics A,",122697,,
A -rigid solution of the Bohr Hamiltonian with deformation-dependent mass term for Kratzer potential and,Physics,2021,"arXiv preprint arXiv:2111.01901, 2021",arXiv preprint arXiv:,211101901,,
Z (4)-DDM: A γ-rigid solution of the Bohr Hamiltonian with Davidson potential for β and γ= 30,Physics,2021,"NUCLEUS–2021. Nuclear physics and elementary particle physics. Nuclear …, 2021",NUCLEUS–,2021,,
"Enhancing the dielectric, electrocaloric and energy storage properties of lead-free Ba0. 85Ca0. 15Zr0. 1Ti0. 9O3 ceramics prepared via sol-gel process",Physics,2021,"Physica B: Condensed Matter 603, 412760, 2021",Physica B: Condensed Matter,603,,412760
